hp_per_weight,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
0.037100456621004564,18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet chevelle malibu
0.04467912266450041,15.0,8,350.0,165.0,3693,11.5,70,usa,buick skylark 320
0.043655413271245634,18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth satellite
0.043693562481794346,16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst
0.04059147579008408,17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino
0.04561161022805805,15.0,8,429.0,198.0,4341,10.0,70,usa,ford galaxie 500
0.050528249885163065,14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala
0.049860853432282005,14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii
0.05084745762711865,14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac catalina
0.04935064935064935,15.0,8,390.0,190.0,3850,8.5,70,usa,amc ambassador dpl
0.04771260174010665,15.0,8,383.0,170.0,3563,10.0,70,usa,dodge challenger se
0.04433361041839845,14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth 'cuda 340
0.03988300983780909,15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet monte carlo
0.0729099157485418,14.0,8,455.0,225.0,3086,10.0,70,usa,buick estate wagon (sw)
0.04005059021922428,24.0,4,113.0,95.0,2372,15.0,70,japan,toyota corona mark ii
0.03353335686551359,22.0,6,198.0,95.0,2833,15.5,70,usa,plymouth duster
0.034967555875991346,18.0,6,199.0,97.0,2774,15.5,70,usa,amc hornet
0.032856590645535366,21.0,6,200.0,85.0,2587,16.0,70,usa,ford maverick
0.04131455399061033,27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510
0.025068119891008173,26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan
0.03255988023952096,25.0,4,110.0,87.0,2672,17.5,70,europe,peugeot 504
0.037037037037037035,24.0,4,107.0,90.0,2430,14.5,70,europe,audi 100 ls
0.04,25.0,4,104.0,95.0,2375,17.5,70,europe,saab 99e
0.050581915846016116,26.0,4,121.0,113.0,2234,12.5,70,europe,bmw 2002
0.033987915407854986,21.0,6,199.0,90.0,2648,15.0,70,usa,amc gremlin
0.04658721560130011,10.0,8,360.0,215.0,4615,14.0,70,usa,ford f250
0.04570383912248629,10.0,8,307.0,200.0,4376,15.0,70,usa,chevy c20
0.04792332268370607,11.0,8,318.0,210.0,4382,13.5,70,usa,dodge d200
0.04078613693998309,9.0,8,304.0,193.0,4732,18.5,70,usa,hi 1200d
0.04131455399061033,27.0,4,97.0,88.0,2130,14.5,71,japan,datsun pl510
0.03975265017667844,28.0,4,140.0,90.0,2264,15.5,71,usa,chevrolet vega 2300
0.042639138240574505,25.0,4,113.0,95.0,2228,14.0,71,japan,toyota corona
,25.0,4,98.0,,2046,19.0,71,usa,ford pinto
0.037965072133637055,19.0,6,232.0,100.0,2634,13.0,71,usa,amc gremlin
0.030532131433556268,16.0,6,225.0,105.0,3439,15.5,71,usa,plymouth satellite custom
0.030039050765995796,17.0,6,250.0,100.0,3329,15.5,71,usa,chevrolet chevelle malibu
0.026650514839491216,19.0,6,250.0,88.0,3302,15.5,71,usa,ford torino 500
0.030413625304136254,18.0,6,232.0,100.0,3288,15.5,71,usa,amc matador
0.039201710620099785,14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet impala
0.03920250896057348,14.0,8,400.0,175.0,4464,11.5,71,usa,pontiac catalina brougham
0.03683196918632643,14.0,8,351.0,153.0,4154,13.5,71,usa,ford galaxie 500
0.03662109375,14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth fury iii
0.03632694248234107,12.0,8,383.0,180.0,4955,11.5,71,usa,dodge monaco (sw)
0.03581963758954909,13.0,8,400.0,170.0,4746,12.0,71,usa,ford country squire (sw)
0.03404669260700389,13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac safari (sw)
0.03713706954760297,18.0,6,258.0,110.0,2962,13.5,71,usa,amc hornet sportabout (sw)
0.029900332225913623,22.0,4,140.0,72.0,2408,19.0,71,usa,chevrolet vega (sw)
0.030469226081657527,19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac firebird
0.028034405861739407,18.0,6,250.0,88.0,3139,14.5,71,usa,ford mustang
0.03873873873873874,23.0,4,122.0,86.0,2220,14.0,71,usa,mercury capri 2000
0.04239284032030146,28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900
0.033751205400192864,30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304
0.036803874092009685,30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b
0.03666102650874224,31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200
0.04277743335399876,35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200
0.03271537622682661,27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen model 111
0.03580562659846547,26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth cricket
0.04170324846356453,24.0,4,113.0,95.0,2278,15.5,72,japan,toyota corona hardtop
0.03762935089369708,25.0,4,97.5,80.0,2126,17.0,72,usa,dodge colt hardtop
0.023957409050576754,23.0,4,97.0,54.0,2254,23.5,72,europe,volkswagen type 3
0.03737541528239203,20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet vega
0.03863432165318958,21.0,4,122.0,86.0,2226,16.5,72,usa,ford pinto runabout
0.0386055217594759,13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet impala
0.039908779931584946,14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina
0.036275695284159616,15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth fury iii
0.03705497699200775,14.0,8,351.0,153.0,4129,13.0,72,usa,ford galaxie 500
0.04084967320261438,17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst
0.044895316209799266,11.0,8,429.0,208.0,4633,11.0,72,usa,mercury marquis
0.03442914260328743,13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom
0.03590664272890485,12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile delta 88 royale
0.04296698326549073,13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler newport royal
0.041630901287553645,19.0,3,70.0,97.0,2330,13.5,72,japan,mazda rx2 coupe
0.03854059609455293,15.0,8,304.0,150.0,3892,12.5,72,usa,amc matador (sw)
0.0317227916056613,13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet chevelle concours (sw)
0.032603632976245925,13.0,8,302.0,140.0,4294,16.0,72,usa,ford gran torino (sw)
0.03679175864606328,14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom (sw)
0.03818615751789976,18.0,4,121.0,112.0,2933,14.5,72,europe,volvo 145e (sw)
0.030266825965750695,22.0,4,121.0,76.0,2511,18.0,72,europe,volkswagen 411 (sw)
0.02920443101711984,21.0,4,120.0,87.0,2979,19.5,72,europe,peugeot 504 (sw)
0.031521242576518956,26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw)
0.03590814196242171,22.0,4,122.0,86.0,2395,16.0,72,usa,ford pinto (sw)
0.04020979020979021,28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510 (sw)
0.038707102952913006,23.0,4,120.0,97.0,2506,14.5,72,japan,toyouta corona mark ii (sw)
